mse_id,udyam_no,enterprise_name,org_type,gender_owner,social_category,specially_abled,state,district,pin_code,nic_5digit,major_activity,classification,employees,investment_lakh,description,products,ondc_domain,b2b_or_b2c,current_business_state,has_gstin,has_pan,has_catalogue,has_devices,has_printer,workshop_interest,language,mobile_number
MSE-00039,UDYAM-TN-11-1974378,Shree Krishna Chana And Farsan Mart,Proprietary,Male,General,No,Tamil Nadu,Ramanathapuram,372891,56291,Services,Small,2,35.0,"Hum Ramanathapuram mein bakery items aur beverages banate hain. Achhi quality, sahi daam. Online bechna chahte hain.",bakery items|beverages|sweets,RET11,B2B,Only offline,No,Yes,Yes,Yes,No,Yes,mr,9628972946
MSE-00040,UDYAM-PB-19-4854577,Kgn Chicken Shop,Proprietary,Male,General,No,Punjab,Sangrur,746330,56291,Services,Micro,2,1.0,Kgn Chicken Shop is a micro enterprise producing bakery items. We want to sell online across India.,bakery items|beverages|snacks,RET11,B2B,Only offline,Yes,Yes,Yes,Yes,No,Yes,hi,9104108662
MSE-00041,UDYAM-AP-33-6625416,Ujwala Fruit Supplyar,Partnership,Male,General,No,Andhra Pradesh,Visakhapatnam,256780,10302,Services,Micro,2,3.0,Ujwala Fruit Supplyar is a micro enterprise producing papad. We want to sell online across India.,papad|pickles|atta,RET10,B2B,Only offline,No,Yes,No,No,No,Yes,hi,9465065278
MSE-00042,UDYAM-RJ-02-7496409,Vijeta Enterprises,Proprietary,Male,General,No,Rajasthan,Jodhpur,152010,22207,Manufacturing,Micro,4,8.0,"Small unit making stationery, home decor items and brass handicrafts. Quality products at wholesale rates.",stationery|home decor items|brass handicrafts,RET16,B2C,Only offline,No,Yes,Yes,Yes,Yes,Yes,te,9413165458
MSE-00043,UDYAM-MP-29-0090535,Invento,Proprietary,Male,General,No,Madhya Pradesh,Dewas,275553,56291,Services,Micro,2,1.0,"Small unit making beverages, sweets and catering food. Quality products at wholesale rates.",beverages|sweets|catering food,RET11,Both,Only offline,No,Yes,No,No,No,No,hi,9466063808
MSE-00044,UDYAM-KA-20-7359433,K K Engineering And Fabrication Work Shop,Proprietary,Male,General,No,Karnataka,Belagavi,625536,25999,Services,Micro,5,3.0,हम industrial fittings और steel fabrication बनाते हैं। हमारा काम Belagavi में है और हम ऑनलाइन बेचना चाहते हैं।,industrial fittings|steel fabrication|machine parts,RET1B,B2C,Only offline,Yes,Yes,No,Yes,No,Yes,ta,9734509661
MSE-00045,UDYAM-TN-30-2861798,K V Corporation,Partnership,Male,General,No,Tamil Nadu,Tirunelveli,745981,56291,Services,Micro,1,2.0,K V Corporation is a micro enterprise producing snacks. We want to sell online across India.,snacks|catering food|beverages,RET11,B2C,Only offline,No,Yes,No,Yes,No,No,en,9267548847
MSE-00046,UDYAM-WB-34-8364973,Amrut Mirya Valavi,Proprietary,Male,ST,No,West Bengal,Uttar Dinajpur,851879,56291,Services,Micro,10,5.0,Amrut Mirya Valavi is a micro enterprise producing sweets. We want to sell online across India.,sweets|beverages|tiffin meals,RET11,Both,Only offline,No,Yes,No,Yes,No,No,mr,9343310813
MSE-00047,UDYAM-UP-11-8487086,Reshma Footwear,Proprietary,Male,SC,No,Uttar Pradesh,Gonda,359612,15209,Manufacturing,Micro,2,2.0,हम handbags और denim jeans बनाते हैं। हमारा काम Gonda में है और हम ऑनलाइन बेचना चाहते हैं।,handbags|denim jeans|kids garments,RET12,B2C,Only offline,No,Yes,No,Yes,No,No,te,9812097339
MSE-00048,UDYAM-CG-30-8224238,Kunal Kirana Stors,Proprietary,Female,General,No,Chhattisgarh,Raipur,169372,56291,Services,Micro,3,2.0,हम beverages और catering food बनाते हैं। हमारा काम Raipur में है और हम ऑनलाइन बेचना चाहते हैं।,beverages|catering food|snacks,RET11,Both,Only offline,No,Yes,No,Yes,No,Yes,en,9420414924
MSE-00049,UDYAM-KA-34-5454090,Abhyankar Enterprises,Proprietary,Male,General,No,Karnataka,Mysuru,299046,15114,Services,Small,4,12.0,We manufacture kurtis and handbags in Mysuru. Supplying to local shops and traders for over 5 years.,kurtis|handbags|leather footwear,RET12,Both,Only online,Yes,Yes,No,No,No,Yes,hi,9444247171
MSE-00050,UDYAM-KA-31-2358854,Dosti Chines Center,Proprietary,Male,OBC,No,Karnataka,Bengaluru (Rural),402515,56102,Services,Micro,4,1.0,Dosti Chines Center is a micro enterprise producing catering food. We want to sell online across India.,catering food|snacks|beverages,RET11,B2C,Only offline,No,Yes,No,Yes,No,Yes,kn,9431460376
MSE-00051,UDYAM-TN-27-5893901,Umar Tea House,Proprietary,Male,General,No,Tamil Nadu,Chennai,193950,56101,Services,Micro,2,5.0,We manufacture bakery items and catering food in Chennai. Supplying to local shops and traders for over 17 years.,bakery items|catering food|sweets,RET11,B2B,Both,No,Yes,No,Yes,No,Yes,bn,9679324926
MSE-00052,UDYAM-MH-17-2628724,Hindustan Electricals,Proprietary,Male,General,No,Maharashtra,Pune,254730,27104,Manufacturing,Micro,5,25.0,Hindustan Electricals is a micro enterprise producing fans. We want to sell online across India.,fans|water purifiers|irons,RET15,B2C,Only online,No,Yes,No,No,No,Yes,hi,9244586990
MSE-00053,UDYAM-OD-17-7631434,Sai Foods And Catering,Proprietary,Female,General,No,Odisha,Ganjam,818041,56210,Services,Micro,1,1.0,"Small unit making sweets, snacks and catering food. Quality products at wholesale rates.",sweets|snacks|catering food,RET11,B2C,Only offline,Yes,Yes,No,Yes,Yes,Yes,bn,9780285184
MSE-00054,UDYAM-HR-01-3093250,Laxmi General Store,Proprietary,Male,General,No,Haryana,Rohtak,511690,56302,Services,Micro,1,1.0,Laxmi General Store is a micro enterprise producing bakery items. We want to sell online across India.,bakery items|beverages|snacks,RET11,B2C,Both,No,Yes,Yes,Yes,No,Yes,en,9104048630
MSE-00055,UDYAM-MH-16-9095314,Ark Shetkari Agrotech Industries Privet Limited,Private Limited Company,Female,General,No,Maharashtra,Kolhapur,784369,10502,Manufacturing,Small,20,500.0,"Small unit making ghee, pickles and spices. Quality products at wholesale rates.",ghee|pickles|spices,RET10,B2B,Only offline,No,No,No,Yes,No,Yes,kn,9204196857
MSE-00056,UDYAM-UP-13-8423864,German Enterprises (Sandeep Gaikwad),Proprietary,Male,OBC,No,Uttar Pradesh,Deoria,743623,17022,Manufacturing,Micro,2,8.0,German Enterprises (Sandeep Gaikwad) is a micro enterprise producing bedsheets. We want to sell online across India.,bedsheets|home decor items|stationery,RET16,B2C,Only offline,No,Yes,No,Yes,No,Yes,bn,9746083631
MSE-00057,UDYAM-UP-10-0584697,Samyak Textiles,Proprietary,Female,General,No,Uttar Pradesh,Pratapgarh,192651,13999,Services,Micro,1,1.0,Samyak Textiles is a micro enterprise producing kurtis. We want to sell online across India.,kurtis|handbags|kids garments,RET12,B2B,Only online,No,Yes,No,Yes,No,Yes,en,9111166916
MSE-00058,UDYAM-KL-05-5028807,Vivan Vegetable Dealer,Proprietary,Female,General,No,Kerala,Ernakulam,144367,10309,Manufacturing,Micro,2,10.0,"Hum Ernakulam mein pickles aur dry fruits banate hain. Achhi quality, sahi daam. Online bechna chahte hain.",pickles|dry fruits|spices,RET10,B2C,Only online,No,Yes,No,Yes,No,Yes,te,9756434932
MSE-00059,UDYAM-WB-26-5175670,Craft Packs And Fix,Proprietary,Male,General,No,West Bengal,Hooghly,420694,17023,Manufacturing,Micro,2,5.0,हम wooden furniture और cookware बनाते हैं। हमारा काम Hooghly में है और हम ऑनलाइन बेचना चाहते हैं।,wooden furniture|cookware|curtains,RET16,Both,Only offline,No,Yes,Yes,No,No,No,hi,9480303897
MSE-00060,UDYAM-KL-06-3000431,Dyco Plastic Dies,Proprietary,Male,General,No,Kerala,Kollam,756524,22199,Manufacturing,Micro,1,3.0,"Hum Kollam mein home decor items aur stationery banate hain. Achhi quality, sahi daam. Online bechna chahte hain.",home decor items|stationery|bedsheets,RET16,B2C,Only offline,No,No,No,Yes,No,No,hi,9558316853
MSE-00061,UDYAM-KA-02-1154662,Akhilesh General Stores,Proprietary,Male,General,No,Karnataka,Ballari,247509,56291,Services,Micro,2,2.0,"Humari unit tiffin meals banati hai. 10 saal se yeh kaam kar rahe hain, ab ONDC pe aana hai.",tiffin meals|sweets|beverages,RET11,Both,Only online,No,Yes,Yes,Yes,No,Yes,mr,9506471240
MSE-00062,UDYAM-UP-16-9877117,Hotel Sai,Proprietary,Female,General,No,Uttar Pradesh,Kanpur Nagar,369685,56101,Services,Micro,2,1.0,हम beverages और bakery items बनाते हैं। हमारा काम Kanpur Nagar में है और हम ऑनलाइन बेचना चाहते हैं।,beverages|bakery items|catering food,RET11,B2C,Both,Yes,Yes,No,No,No,No,hi,9909926393
MSE-00063,UDYAM-HR-17-3219266,Sky Furniture,Proprietary,Male,General,No,Haryana,Faridabad,541496,31001,Manufacturing,Micro,3,4.0,Sky Furniture is a micro enterprise producing curtains. We want to sell online across India.,curtains|wooden furniture|home decor items,RET16,B2C,Only offline,No,Yes,No,Yes,Yes,Yes,hi,9740744706
MSE-00064,UDYAM-TN-21-4158602,Shahid Chikan Shop,Proprietary,Male,General,No,Tamil Nadu,Tiruvannamalai,360316,56291,Services,Micro,2,2.0,Shahid Chikan Shop is a micro enterprise producing snacks. We want to sell online across India.,snacks|tiffin meals|sweets,RET11,B2C,Only offline,No,No,No,Yes,Yes,Yes,kn,9169366746
MSE-00065,UDYAM-GJ-13-1826545,Haji Chicken And Mutton Center,Proprietary,Male,General,No,Gujarat,Bhavnagar,385299,10101,Manufacturing,Micro,3,10.0,We manufacture pickles and jaggery in Bhavnagar. Supplying to local shops and traders for over 18 years.,pickles|jaggery|ghee,RET10,B2C,Only offline,Yes,Yes,No,Yes,No,No,hi,9548044560
MSE-00066,UDYAM-BR-32-6328020,Dattaguru Industries,Proprietary,Male,General,No,Bihar,Madhubani,416373,25920,Manufacturing,Micro,2,2.0,Dattaguru Industries is a micro enterprise producing hand tools. We want to sell online across India.,hand tools|industrial fittings|machine parts,RET1B,B2C,Both,No,Yes,Yes,Yes,No,Yes,te,9108086124
MSE-00067,UDYAM-CG-21-3511300,Jakate Enterprises,Proprietary,Male,SC,No,Chhattisgarh,Dhamtari,587630,10793,Manufacturing,Small,4,35.0,"Hum Dhamtari mein pickles aur masala powders banate hain. Achhi quality, sahi daam. Online bechna chahte hain.",pickles|masala powders|namkeen,RET10,Both,Only online,Yes,Yes,No,Yes,Yes,No,hi,9755497251
MSE-00068,UDYAM-WB-26-2227795,P. P. Saree House,Proprietary,Male,General,No,West Bengal,North 24 Praganas,301108,13999,Services,Micro,5,5.0,"Hum North 24 Praganas mein kurtis aur leather footwear banate hain. Achhi quality, sahi daam. Online bechna chahte hain.",kurtis|leather footwear|cotton sarees,RET12,B2C,Only offline,Yes,Yes,No,Yes,Yes,Yes,ta,9306028564
MSE-00069,UDYAM-TG-24-2071221,Shradha Enterprises,Proprietary,Female,General,No,Telangana,Nalgonda,598894,56292,Services,Micro,2,2.0,"Hum Nalgonda mein snacks aur tiffin meals banate hain. Achhi quality, sahi daam. Online bechna chahte hain.",snacks|tiffin meals|beverages,RET11,B2B,Only offline,Yes,Yes,No,No,No,Yes,mr,9308878920
MSE-00070,UDYAM-GJ-30-6443172,Sapttashrungi Krupa Enterprises,Proprietary,Male,General,No,Gujarat,Rajkot,359572,25111,Services,Micro,2,1.0,"Hum Rajkot mein machine parts aur fasteners banate hain. Achhi quality, sahi daam. Online bechna chahte hain.",machine parts|fasteners|industrial fittings,RET1B,Both,Only offline,Yes,Yes,No,Yes,No,Yes,en,9236395006
MSE-00071,UDYAM-MH-20-7088931,Aastha Swayrojgar Mahila Bachgat. Dhule,Self Help Group,Female,General,No,Maharashtra,Mumbai Suburban,843613,10799,Manufacturing,Small,5,50.0,Aastha Swayrojgar Mahila Bachgat. Dhule is a small enterprise producing namkeen. We want to sell online across India.,namkeen|spices|pickles,RET10,B2C,Only offline,Yes,No,No,Yes,No,Yes,te,9998395484
MSE-00072,UDYAM-TN-17-9412303,K T Kirana Stores,Proprietary,Male,SC,No,Tamil Nadu,Ramanathapuram,709170,56291,Services,Micro,2,5.0,We manufacture snacks and sweets in Ramanathapuram. Supplying to local shops and traders for over 14 years.,snacks|sweets|beverages,RET11,B2B,Only offline,No,No,No,Yes,Yes,Yes,hi,9640806014
MSE-00073,UDYAM-JH-05-8559991,Shourya Sales,Proprietary,Male,General,No,Jharkhand,Palamu,843015,27400,Services,Micro,2,7.0,"Hum Palamu mein irons aur fans banate hain. Achhi quality, sahi daam. Online bechna chahte hain.",irons|fans|mixer grinders,RET15,Both,Only offline,No,Yes,No,Yes,No,Yes,hi,9765577033
MSE-00074,UDYAM-AP-18-4008071,Om India,Proprietary,Male,General,No,Andhra Pradesh,Guntur,661388,16231,Manufacturing,Micro,9,5.0,"Humari unit cookware banati hai. 15 saal se yeh kaam kar rahe hain, ab ONDC pe aana hai.",cookware|stationery|home decor items,RET16,B2C,Only offline,No,Yes,No,Yes,No,No,mr,9201556502
MSE-00075,UDYAM-AP-01-1452859,Hindustan Engineering Services,Proprietary,Male,General,No,Andhra Pradesh,Srikakulam,180666,25999,Manufacturing,Micro,8,10.0,We manufacture steel fabrication and machine parts in Srikakulam. Supplying to local shops and traders for over 18 years.,steel fabrication|machine parts|industrial fittings,RET1B,B2B,Only offline,Yes,No,Yes,Yes,No,Yes,ta,9976805012
MSE-00076,UDYAM-TN-01-7749931,Vikas Jewellery,Proprietary,Male,General,No,Tamil Nadu,Tiruchirappalli,593465,32120,Manufacturing,Micro,5,25.0,"Humari unit handbags banati hai. 9 saal se yeh kaam kar rahe hain, ab ONDC pe aana hai.",handbags|artificial jewellery|cotton sarees,RET12,B2C,Only offline,No,Yes,Yes,Yes,Yes,No,en,9142723334
